county,state,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,release_date
Calhoun,Arkansas,5362,5243,5278,5192,5167,5200,5143,5201,5227,5189,20200301
Carroll,Arkansas,27553,27466,27623,27791,27734,27755,27728,27865,28097,28380,20200301
Chicot,Arkansas,11799,11703,11498,11362,11211,10970,10899,10647,10442,10118,20200301
Clark,Arkansas,22925,22928,22755,22582,22557,22513,22602,22184,22313,22320,20200301
Clay,Arkansas,16050,15876,15710,15484,15299,15206,15060,14865,14763,14551,20200301
Cleburne,Arkansas,25986,25875,25763,25625,25591,25355,25173,25059,24994,24919,20200301
Cleveland,Arkansas,8677,8674,8609,8515,8399,8284,8245,8162,7995,7956,20200301
Columbia,Arkansas,24723,24709,24413,24284,24049,24115,24026,23695,23586,23457,20200301
Conway,Arkansas,21219,21128,21141,21088,20995,20936,20874,20810,20825,20846,20200301
Craighead,Arkansas,96748,98405,99993,101653,102661,104457,105932,107188,108816,110332,20200301
Crawford,Arkansas,61956,61796,61911,61667,61807,61904,62263,62894,63379,63257,20200301
Crittenden,Arkansas,50958,50517,50077,49739,49536,49019,49306,48716,48363,47955,20200301
Cross,Arkansas,17862,17809,17703,17521,17181,17255,17025,16792,16630,16419,20200301
Dallas,Arkansas,8066,8056,7952,7892,7691,7530,7399,7307,7152,7009,20200301
Desha,Arkansas,12954,12731,12590,12502,12270,12029,11905,11743,11507,11361,20200301
Drew,Arkansas,18666,18735,18788,18686,18642,18613,18553,18370,18328,18219,20200301
Faulkner,Arkansas,114026,116280,118523,119176,120562,121241,122206,123530,125138,126007,20200301
Franklin,Arkansas,18142,18009,17959,17915,17828,17749,17655,17809,17764,17715,20200301
Fulton,Arkansas,12215,12240,12169,12170,12081,12138,12099,12131,12308,12477,20200301
Garland,Arkansas,96067,96854,96986,97654,97758,97814,98282,98327,98966,99386,20200301
Grant,Arkansas,17886,17947,18038,18046,18074,18016,18064,18103,18180,18265,20200301
Greene,Arkansas,42201,42763,43229,43160,43788,44300,44730,44993,45339,45325,20200301
Hempstead,Arkansas,22596,22488,22344,22420,22326,22085,22032,21876,21685,21532,20200301
Hot Spring,Arkansas,33231,33142,33507,33528,33409,33497,33438,33606,33672,33771,20200301
Howard,Arkansas,13796,13816,13675,13543,13492,13336,13350,13365,13302,13202,20200301
Independence,Arkansas,36809,36884,36953,36885,37080,37035,37117,37391,37768,37825,20200301
Izard,Arkansas,13726,13572,13541,13411,13557,13487,13488,13666,13582,13629,20200301
Jackson,Arkansas,18057,17887,17680,17729,17591,17365,17282,17017,16753,16719,20200301
Jefferson,Arkansas,77341,76039,74634,73191,72458,71872,70407,69238,68067,66824,20200301
Johnson,Arkansas,25556,25675,25914,25932,25969,26094,26127,26401,26659,26578,20200301
Lafayette,Arkansas,7647,7536,7450,7284,7158,7010,6888,6797,6679,6624,20200301
Lawrence,Arkansas,17518,17282,17040,17054,16969,16696,16639,16571,16432,16406,20200301
Lee,Arkansas,10395,10291,10184,10010,9839,9672,9337,9127,8976,8857,20200301
Lincoln,Arkansas,14089,14339,14180,14063,14025,13866,13728,13475,13184,13024,20200301
Little River,Arkansas,13132,12945,12916,12733,12503,12402,12406,12373,12297,12259,20200301
Logan,Arkansas,22308,22242,21928,22031,21866,21729,21732,21739,21673,21466,20200301
Lonoke,Arkansas,68744,69529,70109,70742,71368,71359,71803,72778,73391,73309,20200301
Madison,Arkansas,15684,15662,15597,15679,15731,15705,16112,16299,16362,16576,20200301
Marion,Arkansas,16665,16671,16621,16444,16423,16215,16376,16429,16665,16694,20200301
Miller,Arkansas,43562,43762,43663,43402,43458,43792,43713,43736,43362,43257,20200301
Mississippi,Arkansas,46399,46031,45553,44695,44247,43729,42900,42112,41236,40651,20200301
Monroe,Arkansas,8138,8099,7854,7690,7634,7452,7205,7013,6880,6701,20200301
Montgomery,Arkansas,9510,9402,9340,9252,9162,9027,8936,8890,8910,8986,20200301
Nevada,Arkansas,8997,9008,8909,8772,8645,8508,8378,8309,8308,8252,20200301
Newton,Arkansas,8304,8251,8052,8042,7867,7846,7848,7815,7800,7753,20200301
Ouachita,Arkansas,26046,25737,25398,24948,24761,24316,24013,23817,23620,23382,20200301
Perry,Arkansas,10444,10383,10328,10335,10360,10307,10286,10346,10380,10455,20200301
Phillips,Arkansas,21676,21406,20736,20437,19952,19546,19050,18599,18054,17782,20200301
Pike,Arkansas,11264,11241,11254,11121,10989,10837,10826,10735,10666,10718,20200301
Poinsett,Arkansas,24515,24449,24299,24187,24152,24002,23974,24071,23903,23528,20200301
Polk,Arkansas,20667,20558,20420,20342,20249,20194,20145,20147,20019,19964,20200301
Pope,Arkansas,62109,62687,62631,62588,63117,63608,63897,63634,63594,64072,20200301
Prairie,Arkansas,8722,8599,8482,8375,8347,8299,8252,8248,8082,8062,20200301
Pulaski,Arkansas,383538,386990,389225,391512,392952,393576,394151,393280,391918,391911,20200301
Randolph,Arkansas,17955,17973,17840,17625,17569,17437,17444,17665,17970,17958,20200301
St. Francis,Arkansas,28194,27994,27992,27508,27088,26651,26347,25997,25509,24994,20200301
Saline,Arkansas,107656,109553,111442,113348,114874,116390,117656,119520,121074,122437,20200301
Scott,Arkansas,11275,11264,11033,10934,10686,10561,10332,10369,10339,10281,20200301
Searcy,Arkansas,8182,8078,8005,7991,7924,7835,7968,7927,7930,7881,20200301
Sebastian,Arkansas,125737,127010,127571,127173,126733,127385,127385,127786,127570,127827,20200301
Sevier,Arkansas,17151,17218,17188,17356,17410,17262,16971,17103,17061,17007,20200301
Sharp,Arkansas,17250,17270,17034,17043,16820,16808,17007,17147,17290,17442,20200301
Stone,Arkansas,12389,12500,12542,12423,12381,12386,12509,12520,12454,12506,20200301
Union,Arkansas,41573,41402,40861,40604,40136,40086,39879,39460,39139,38682,20200301
Van Buren,Arkansas,17310,17214,17162,16985,16907,16808,16669,16552,16635,16545,20200301
Washington,Arkansas,204024,208051,211756,216000,219941,224434,228482,232732,236611,239187,20200301
White,Arkansas,77356,78083,78641,78567,78471,78915,78917,78844,78381,78753,20200301
Woodruff,Arkansas,7236,7164,7052,7018,6860,6706,6600,6575,6466,6320,20200301
Yell,Arkansas,22146,21964,21824,21819,21768,21506,21502,21509,21462,21341,20200301
Alameda,California,1512986,1530915,1553764,1579593,1607792,1634538,1650950,1660196,1666756,1671329,20200301
Alpine,California,1161,1093,1110,1128,1080,1077,1047,1111,1089,1129,20200301
Amador,California,37886,37543,37104,36620,36726,37031,37429,38529,39405,39752,20200301
Butte,California,219949,219975,220869,221641,223516,224631,226231,228696,230339,219186,20200301
Calaveras,California,45468,45160,44815,44655,44671,44965,45322,45681,45698,45905,20200301
Colusa,California,21437,21323,21284,21250,21176,21231,21496,21579,21418,21547,20200301
Contra Costa,California,1052540,1065440,1077548,1093401,1108876,1124405,1137268,1145535,1150519,1153526,20200301
Del Norte,California,28566,28443,28190,27816,27175,27190,27382,27351,27740,27812,20200301
El Dorado,California,181136,180936,180575,181481,183108,184569,185976,188679,190746,192843,20200301
Fresno,California,932039,939406,945045,951514,960567,969488,976830,985238,991950,999101,20200301
Glenn,California,28127,28139,27851,27809,27831,27753,27840,27926,27967,28393,20200301
Humboldt,California,135009,135243,134572,134403,134494,135102,136290,136507,136244,135558,20200301
Imperial,California,174716,175786,176575,176438,177974,178937,180179,181649,181523,181215,20200301
Inyo,California,18511,18392,18351,18357,18292,18108,17922,17868,17946,18039,20200301
Kern,California,840996,847970,853606,862000,869176,876031,880856,887356,893758,900202,20200301
Kings,California,152370,151868,150991,150337,149495,150085,149382,149665,151382,152940,20200301
Lake,California,64735,64251,63954,63796,64044,64260,63903,64111,64317,64386,20200301
Lassen,California,34831,34246,33629,32129,31664,31256,30721,30920,30618,30573,20200301
Los Angeles,California,9823246,9876482,9935375,9992484,10040072,10085416,10105708,10103711,10073906,10039107,20200301
Madera,California,150986,151675,151527,151370,153456,153576,153956,155423,156882,157327,20200301
Marin,California,252904,255376,256061,258409,260359,260916,260562,259749,259662,258826,20200301
Mariposa,California,18277,18170,17881,17809,17714,17622,17456,17414,17405,17203,20200301
Mendocino,California,87799,87334,87288,87054,87225,87107,87285,87576,87401,86749,20200301
Merced,California,256721,259297,260867,262026,264419,266353,267628,271096,274151,277680,20200301
Modoc,California,9694,9509,9351,9145,9068,9056,8961,8876,8800,8841,20200301
Mono,California,14257,14422,14331,14067,14134,14077,14273,14354,14403,14444,20200301
Monterey,California,416373,420456,424788,426712,428475,430552,433953,434534,433950,434061,20200301
Napa,California,136759,137691,138538,139580,140405,140862,140840,139878,138789,137744,20200301
Nevada,California,98790,98701,98137,97938,98572,98676,98913,99367,99508,99755,20200301
Orange,California,3015171,3049271,3078068,3104950,3126537,3149280,3164986,3174289,3175973,3175692,20200301
Placer,California,350021,356328,360263,365398,369217,372841,378943,385115,392330,398329,20200301
Plumas,California,19914,19719,19377,18895,18622,18427,18665,18660,18741,18807,20200301
Riverside,California,2201576,2234070,2261204,2286755,2316162,2345816,2380081,2414964,2445789,2470546,20200301
Sacramento,California,1421383,1433730,1444852,1457341,1474917,1493674,1510987,1527301,1538746,1552058,20200301
San Benito,California,55516,55977,56599,57239,57825,58216,59225,60164,61467,62808,20200301
San Bernardino,California,2040848,2060827,2073512,2082738,2099181,2115411,2131960,2150945,2166753,2180085,20200301
San Diego,California,3103212,3137156,3174335,3209768,3248877,3280850,3306089,3321237,3333861,3338330,20200301
San Francisco,California,805505,815650,828876,839572,850750,863010,871512,878040,880696,881549,20200301
San Joaquin,California,687127,694354,699593,702046,711579,722271,732809,743296,752491,762148,20200301
San Luis Obispo,California,269802,271058,274160,275696,278227,280077,281803,282481,283354,283111,20200301
San Mateo,California,719699,728344,739224,748661,757204,765055,767906,768901,768681,766573,20200301
Santa Barbara,California,424231,425453,429699,434601,439045,442229,444340,445298,445780,446499,20200301
Santa Clara,California,1786040,1812054,1837853,1866425,1891753,1916285,1928368,1932510,1932337,1927852,20200301
Santa Cruz,California,263147,264858,266340,268816,270861,273503,274396,274856,273841,273213,20200301
Shasta,California,177274,177588,177875,178397,178844,178314,178571,179384,179709,180080,20200301
Sierra,California,3220,3098,3067,3028,2972,2985,2951,3002,2997,3005,20200301
Siskiyou,California,44938,44615,44079,43532,43338,43254,43376,43622,43550,43539,20200301
Solano,California,413967,416342,419674,423659,429006,433409,438858,443511,445725,447643,20200301
Sonoma,California,484755,487421,489993,494073,498560,500863,502547,502469,498643,494336,20200301
Stanislaus,California,515145,517560,520424,523451,528015,533211,539255,544717,548126,550660,20200301
Sutter,California,94751,94482,94189,94507,94778,95282,95742,96204,96348,96971,20200301
Tehama,California,63559,63331,63212,62875,62801,63158,63453,63847,64018,65084,20200301
Trinity,California,13755,13685,13489,13427,13128,13094,12828,12726,12567,12285,20200301
Tulare,California,442969,446784,449779,452460,455138,457161,459235,462308,464589,466195,20200301
Tuolumne,California,55190,54830,54221,53997,53851,53615,53770,53976,54387,54478,20200301
Ventura,California,825097,830099,833516,838136,842297,845802,847323,849044,848142,846006,20200301
Yolo,California,201073,201954,204576,206292,208398,212037,215627,218477,220118,220500,20200301
