county,state,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,release_date
Gasconade,Missouri,15202,15071,14907,14806,14804,14742,14746,14683,14680,14706,20200301
Gentry,Missouri,6750,6823,6769,6736,6757,6654,6624,6634,6598,6571,20200301
Greene,Missouri,275309,277446,280447,283605,285241,287312,287818,289512,291054,293086,20200301
Grundy,Missouri,10253,10252,10331,10346,10182,10031,10111,9991,9975,9850,20200301
Harrison,Missouri,8967,8885,8724,8710,8632,8622,8579,8506,8394,8352,20200301
Henry,Missouri,22264,22253,22225,22116,22048,21725,21625,21695,21808,21824,20200301
Hickory,Missouri,9646,9615,9443,9347,9292,9266,9356,9395,9458,9544,20200301
Holt,Missouri,4915,4839,4680,4591,4530,4483,4453,4407,4412,4403,20200301
Howard,Missouri,10141,10219,10196,10239,10129,10134,10032,10066,10059,10001,20200301
Howell,Missouri,40552,40584,40537,40236,40122,40070,40132,40074,40126,40117,20200301
Iron,Missouri,10592,10620,10548,10461,10362,10203,10123,10181,10187,10125,20200301
Jackson,Missouri,674845,675553,677417,679841,683014,686783,692430,698072,700784,703011,20200301
Jasper,Missouri,117656,115283,115770,116766,117742,118548,119219,120048,120455,121328,20200301
Jefferson,Missouri,219128,219594,219853,220870,222006,223116,223377,223769,224410,225081,20200301
Johnson,Missouri,52686,53297,54124,54139,54010,53496,53497,53735,53621,54062,20200301
Knox,Missouri,4125,4125,4090,4060,3993,3907,3933,3970,3965,3959,20200301
Laclede,Missouri,35700,35668,35482,35654,35530,35469,35450,35418,35596,35723,20200301
Lafayette,Missouri,33381,33207,33054,32823,32619,32624,32534,32579,32542,32708,20200301
Lawrence,Missouri,38591,38502,38382,38104,37903,37981,38164,38256,38264,38355,20200301
Lewis,Missouri,10210,10220,10119,10111,10099,10138,10072,9952,9839,9776,20200301
Lincoln,Missouri,52674,53051,53265,53785,54170,54567,55146,56045,57613,59013,20200301
Linn,Missouri,12774,12601,12488,12330,12320,12293,12146,12168,12039,11920,20200301
Livingston,Missouri,15128,15120,14997,14874,15006,14938,15127,15157,15181,15227,20200301
McDonald,Missouri,23072,22891,22966,22629,22820,22683,22705,22722,22963,22837,20200301
Macon,Missouri,15593,15486,15563,15475,15449,15284,15164,15262,15167,15117,20200301
Madison,Missouri,12197,12256,12373,12270,12192,12178,12213,12230,12188,12088,20200301
Maries,Missouri,9162,9171,9022,9037,9001,8936,8821,8790,8770,8697,20200301
Marion,Missouri,28787,28786,28746,28769,28766,28697,28689,28585,28540,28530,20200301
Mercer,Missouri,3770,3774,3708,3664,3683,3660,3661,3656,3626,3617,20200301
Miller,Missouri,24716,24718,24582,24812,24833,24872,24998,25202,25315,25619,20200301
Mississippi,Missouri,14330,14234,14274,14174,14175,13965,13738,13594,13394,13180,20200301
Moniteau,Missouri,15626,15706,15669,15742,15809,15873,15991,16047,16186,16132,20200301
Monroe,Missouri,8786,8683,8692,8770,8737,8637,8633,8596,8636,8644,20200301
Montgomery,Missouri,12207,12202,11965,11847,11718,11572,11447,11378,11488,11551,20200301
Morgan,Missouri,20543,20378,20082,20122,20074,20065,20089,20162,20414,20627,20200301
New Madrid,Missouri,18934,18764,18471,18316,18229,18067,17839,17544,17272,17076,20200301
Newton,Missouri,58177,58563,58637,58378,58127,58138,58178,58191,58158,58236,20200301
Nodaway,Missouri,23401,23433,23327,23151,22981,22625,22455,22401,22223,22092,20200301
Oregon,Missouri,10935,11044,10966,10927,10823,10850,10746,10553,10558,10529,20200301
Osage,Missouri,13905,13908,13846,13677,13638,13538,13613,13658,13652,13615,20200301
Ozark,Missouri,9746,9647,9593,9503,9439,9364,9199,9227,9070,9174,20200301
Pemiscot,Missouri,18261,18185,18075,17774,17564,17410,17060,16783,16256,15805,20200301
Perry,Missouri,18938,19008,19001,19053,19118,19068,19216,19262,19274,19136,20200301
Pettis,Missouri,42274,42155,42304,42196,42200,42300,42249,42445,42441,42339,20200301
Phelps,Missouri,45294,45246,45230,45006,44925,44766,44708,44551,44551,44573,20200301
Pike,Missouri,18476,18661,18552,18608,18497,18409,18507,18557,18502,18302,20200301
Platte,Missouri,89702,90880,92151,93367,94859,96445,98641,101141,102764,104418,20200301
Polk,Missouri,31157,31202,31082,31117,31118,31256,31380,31742,32214,32149,20200301
Pulaski,Missouri,52859,53297,53475,54077,53550,53204,52456,51862,51997,52607,20200301
Putnam,Missouri,4974,4976,4945,4884,4843,4860,4825,4778,4748,4696,20200301
Ralls,Missouri,10193,10275,10226,10164,10276,10169,10230,10226,10234,10309,20200301
Randolph,Missouri,25458,25282,25334,24945,25050,25041,24970,24899,24732,24748,20200301
Ray,Missouri,23517,23346,23081,23064,22936,22793,22741,22877,22945,23018,20200301
Reynolds,Missouri,6676,6565,6548,6454,6400,6292,6347,6260,6282,6270,20200301
Ripley,Missouri,14102,14140,14028,13985,13932,13788,13775,13565,13420,13288,20200301
St. Charles,Missouri,361803,365582,369111,374288,379844,384978,390541,395130,398780,402022,20200301
St. Clair,Missouri,9823,9693,9527,9487,9432,9411,9288,9365,9389,9397,20200301
Ste. Genevieve,Missouri,18127,18196,17868,17951,17936,17804,17875,17792,17877,17894,20200301
St. Francois,Missouri,65529,65590,65803,66102,65784,66232,66356,66674,66737,67215,20200301
St. Louis,Missouri,998840,1000040,1000761,1000456,1000528,1001109,997837,996227,995219,994205,20200301
Saline,Missouri,23420,23406,23544,23355,23398,23226,23095,22910,22890,22761,20200301
Schuyler,Missouri,4441,4389,4387,4370,4392,4500,4501,4518,4594,4660,20200301
Scotland,Missouri,4840,4835,4865,4893,4840,4821,4902,4948,4938,4902,20200301
Scott,Missouri,39261,39147,39161,39207,38868,39007,38760,38576,38541,38280,20200301
Shannon,Missouri,8443,8412,8332,8288,8293,8273,8222,8235,8189,8166,20200301
Shelby,Missouri,6365,6235,6216,6152,6092,6101,6044,5995,5997,5930,20200301
Stoddard,Missouri,30027,29851,29814,29795,29785,29736,29498,29364,29264,29025,20200301
Stone,Missouri,32235,32118,31893,31658,31445,31307,31471,31642,31701,31952,20200301
Sullivan,Missouri,6737,6663,6556,6497,6472,6366,6333,6212,6233,6089,20200301
Taney,Missouri,51902,52652,52901,53255,53810,54216,54608,55100,55719,55928,20200301
Texas,Missouri,26042,25928,25791,25685,25659,25660,25805,25650,25506,25398,20200301
Vernon,Missouri,21159,21084,20930,20978,20983,20758,20653,20507,20492,20563,20200301
Warren,Missouri,32605,32604,32738,32980,33180,33532,33871,34448,34766,35649,20200301
Washington,Missouri,25201,25105,25088,25144,25079,24793,24852,24994,24933,24730,20200301
Wayne,Missouri,13519,13425,13408,13475,13481,13431,13236,13303,13132,12873,20200301
Webster,Missouri,36320,36448,36448,36626,37042,37604,38154,38745,39179,39592,20200301
Worth,Missouri,2152,2118,2080,2079,2054,2042,2015,2041,2026,2013,20200301
Wright,Missouri,18779,18572,18556,18333,18198,18146,18185,18210,18187,18289,20200301
St. Louis City,Missouri,319336,319344,319416,318476,317399,316010,312633,308233,303419,300576,20200301
Beaverhead,Montana,9255,9210,9359,9306,9337,9295,9463,9450,9412,9453,20200301
Big Horn,Montana,12911,13056,12995,13117,13343,13312,13458,13483,13365,13319,20200301
Blaine,Montana,6503,6575,6680,6637,6710,6680,6716,6745,6774,6681,20200301
Broadwater,Montana,5633,5726,5759,5676,5653,5714,5785,5917,6072,6237,20200301
Carbon,Montana,10063,10089,10141,10337,10438,10403,10485,10680,10691,10725,20200301
Carter,Montana,1159,1136,1157,1152,1150,1147,1175,1223,1230,1252,20200301
Cascade,Montana,81507,81714,81622,82194,82056,81878,81562,81633,81688,81366,20200301
Chouteau,Montana,5810,5812,5932,5853,5899,5774,5780,5732,5740,5635,20200301
Custer,Montana,11692,11758,11798,11873,12008,12083,11843,11726,11592,11402,20200301
Daniels,Montana,1749,1760,1774,1777,1797,1750,1731,1722,1729,1690,20200301
Dawson,Montana,8950,9026,9231,9381,9505,9577,9263,8952,8680,8613,20200301
Deer Lodge,Montana,9291,9280,9215,9257,9115,9102,9057,9100,9129,9140,20200301
Fallon,Montana,2889,2930,3026,3047,3110,3171,3086,3004,2912,2846,20200301
Fergus,Montana,11585,11461,11391,11464,11329,11307,11349,11281,11117,11050,20200301
Flathead,Montana,90864,91270,91597,92935,94567,95839,97742,100091,102017,103806,20200301
Gallatin,Montana,89654,91375,92570,94798,97508,100882,104739,108576,111682,114434,20200301
Garfield,Montana,1192,1254,1244,1254,1275,1284,1299,1281,1257,1258,20200301
Glacier,Montana,13421,13577,13667,13789,13704,13636,13711,13732,13828,13753,20200301
Golden Valley,Montana,879,830,827,846,841,818,810,817,822,821,20200301
Granite,Montana,3075,3079,3042,3069,3146,3163,3286,3356,3371,3379,20200301
Hill,Montana,16153,16394,16396,16535,16502,16438,16448,16469,16342,16484,20200301
Jefferson,Montana,11407,11375,11318,11455,11502,11572,11779,11921,12094,12221,20200301
Judith Basin,Montana,2073,2009,2004,2000,1984,1931,1940,1945,1946,2007,20200301
Lake,Montana,28789,28977,29012,29121,29215,29457,29709,30221,30220,30458,20200301
Lewis and Clark,Montana,63577,64272,64736,65234,65703,66225,66894,67850,68622,69432,20200301
Liberty,Montana,2349,2379,2393,2362,2348,2391,2409,2407,2416,2337,20200301
Lincoln,Montana,19694,19625,19485,19424,19186,19060,19294,19556,19797,19980,20200301
McCone,Montana,1745,1709,1701,1715,1715,1700,1732,1698,1669,1664,20200301
Madison,Montana,7696,7644,7663,7674,7828,8026,8062,8291,8530,8600,20200301
Meagher,Montana,1878,1877,1886,1904,1856,1821,1845,1852,1857,1862,20200301
Mineral,Montana,4229,4220,4128,4228,4195,4192,4124,4235,4307,4397,20200301
Missoula,Montana,109467,110245,111042,111900,112801,114122,116349,117834,118640,119600,20200301
Musselshell,Montana,4555,4747,4692,4681,4645,4628,4646,4632,4632,4633,20200301
Park,Montana,15596,15509,15591,15698,15919,16003,16115,16386,16648,16606,20200301
Petroleum,Montana,489,490,504,504,488,474,491,512,512,487,20200301
Phillips,Montana,4252,4186,4121,4159,4170,4146,4113,4113,4060,3954,20200301
Pondera,Montana,6160,6193,6150,6216,6138,6095,6035,5968,5960,5911,20200301
Powder River,Montana,1739,1739,1753,1753,1777,1768,1746,1750,1720,1682,20200301
Powell,Montana,7019,7084,7081,6957,6882,6799,6841,6789,6953,6890,20200301
Prairie,Montana,1183,1141,1141,1163,1125,1140,1159,1099,1070,1077,20200301
Ravalli,Montana,40324,40380,40576,40668,40745,41148,41918,42524,43166,43806,20200301
Richland,Montana,9759,10144,10780,11154,11531,11902,11408,11027,10855,10803,20200301
Roosevelt,Montana,10443,10497,10856,11089,11285,11417,11225,11160,11069,11004,20200301
Rosebud,Montana,9242,9324,9346,9298,9321,9347,9232,9205,9040,8937,20200301
Sanders,Montana,11395,11400,11375,11310,11313,11293,11465,11689,11847,12113,20200301
Sheridan,Montana,3368,3418,3550,3626,3661,3673,3608,3471,3386,3309,20200301
Silver Bow,Montana,34230,34405,34474,34574,34752,34691,34696,34811,34739,34915,20200301
Stillwater,Montana,9114,9156,9166,9255,9235,9425,9360,9419,9483,9642,20200301
Sweet Grass,Montana,3619,3585,3581,3658,3639,3620,3616,3676,3703,3737,20200301
Teton,Montana,6074,6060,6057,6051,6031,6062,6011,6091,6117,6147,20200301
Toole,Montana,5343,5154,5217,5121,5117,5077,4951,4860,4835,4736,20200301
Treasure,Montana,718,713,722,693,689,684,680,673,673,696,20200301
Valley,Montana,7378,7461,7499,7628,7627,7621,7532,7402,7406,7396,20200301
Wheatland,Montana,2156,2132,2091,2123,2090,2111,2130,2161,2184,2126,20200301
Wibaux,Montana,1008,982,1034,1101,1084,1072,1042,1018,1030,969,20200301
Yellowstone,Montana,148394,149772,151635,153775,155279,156529,157914,159266,160029,161300,20200301
Adams,Nebraska,31328,31204,31345,31527,31389,31567,31683,31808,31514,31363,20200301
Antelope,Nebraska,6679,6621,6550,6472,6419,6415,6345,6341,6308,6298,20200301
Arthur,Nebraska,465,468,479,454,451,451,466,455,462,463,20200301
Banner,Nebraska,691,655,684,678,670,711,716,726,725,745,20200301
Blaine,Nebraska,478,475,498,470,490,477,470,479,480,465,20200301
Boone,Nebraska,5511,5407,5429,5397,5357,5310,5333,5320,5241,5192,20200301
Box Butte,Nebraska,11275,11295,11265,11296,11298,11325,11176,10835,10733,10783,20200301
Boyd,Nebraska,2105,2079,2060,2016,2019,2002,1980,1955,1950,1919,20200301
Brown,Nebraska,3155,3098,3052,2958,2974,2982,2980,3000,2967,2955,20200301
Buffalo,Nebraska,46175,46824,47637,47999,48200,48578,49104,49350,49352,49659,20200301
Burt,Nebraska,6842,6783,6681,6570,6546,6538,6537,6531,6486,6459,20200301
Butler,Nebraska,8374,8256,8252,8231,8181,8058,7996,8032,8043,8016,20200301
Cass,Nebraska,25239,25237,25126,25295,25404,25421,25647,25935,26189,26248,20200301
Cedar,Nebraska,8819,8752,8699,8625,8542,8518,8604,8515,8453,8402,20200301
Chase,Nebraska,3966,3983,4015,3981,3981,3963,3914,3928,3937,3924,20200301
Cherry,Nebraska,5694,5730,5732,5755,5744,5824,5829,5790,5763,5689,20200301
Cheyenne,Nebraska,9968,9989,10073,10067,10113,10137,10047,9644,9282,8910,20200301
Clay,Nebraska,6536,6453,6384,6358,6314,6291,6135,6186,6202,6203,20200301
Colfax,Nebraska,10540,10566,10552,10454,10663,10717,10712,10700,10734,10709,20200301
Cuming,Nebraska,9160,9117,9082,9010,9017,9075,8957,8947,8935,8846,20200301
Custer,Nebraska,10905,10903,10844,10828,10770,10828,10824,10869,10830,10777,20200301
Dakota,Nebraska,21034,20811,20714,20765,20547,20550,20279,20010,20002,20026,20200301
Dawes,Nebraska,9168,9203,9133,9062,9018,8958,8911,8888,8705,8589,20200301
Dawson,Nebraska,24312,24216,23977,24016,23986,23892,23779,23657,23744,23595,20200301
Deuel,Nebraska,1925,1957,1959,1920,1926,1910,1861,1861,1821,1794,20200301
Dixon,Nebraska,5988,5998,5888,5815,5760,5769,5742,5746,5700,5636,20200301
Dodge,Nebraska,36673,36930,36590,36497,36614,36567,36677,36789,36725,36565,20200301
Douglas,Nebraska,518574,524167,530755,536734,543005,549029,555607,560733,566391,571327,20200301
Dundy,Nebraska,2008,1976,1979,1955,1863,1770,1806,1783,1764,1693,20200301
Fillmore,Nebraska,5871,5827,5713,5637,5604,5553,5622,5561,5535,5462,20200301
Franklin,Nebraska,3244,3204,3183,3063,3046,2977,2994,2974,3013,2979,20200301
Frontier,Nebraska,2760,2714,2719,2716,2722,2631,2645,2623,2600,2627,20200301
Furnas,Nebraska,4945,4915,4882,4830,4853,4831,4762,4763,4701,4676,20200301
Gage,Nebraska,22269,21908,21654,21767,21557,21715,21625,21621,21495,21513,20200301
Garden,Nebraska,2075,2062,1983,1923,1908,1916,1907,1890,1890,1837,20200301
Garfield,Nebraska,2035,2010,1994,2022,2000,2014,1994,1986,1974,1969,20200301
Gosper,Nebraska,2040,1991,2080,2017,2004,2025,2025,2028,1996,1990,20200301
Grant,Nebraska,613,634,625,633,626,646,665,649,657,623,20200301
Greeley,Nebraska,2546,2535,2464,2483,2483,2435,2400,2363,2355,2356,20200301
Hall,Nebraska,58805,59492,60095,60485,61099,61132,61353,61201,61286,61353,20200301
Hamilton,Nebraska,9127,9078,9040,9122,9102,9141,9158,9194,9260,9324,20200301
Harlan,Nebraska,3422,3436,3411,3488,3468,3441,3451,3415,3386,3380,20200301
Hayes,Nebraska,956,952,919,947,910,915,891,893,917,922,20200301
Hitchcock,Nebraska,2897,2857,2873,2853,2879,2879,2828,2806,2801,2762,20200301
Holt,Nebraska,10434,10443,10376,10380,10359,10263,10223,10182,10148,10067,20200301
Hooker,Nebraska,737,743,718,731,722,714,683,666,676,682,20200301
Howard,Nebraska,6279,6295,6298,6337,6353,6382,6407,6396,6457,6445,20200301
Jefferson,Nebraska,7522,7551,7534,7512,7300,7221,7181,7176,7098,7046,20200301
Johnson,Nebraska,5233,5217,5186,5167,5223,5239,5213,5169,5115,5071,20200301
Kearney,Nebraska,6477,6547,6508,6486,6587,6558,6561,6492,6539,6495,20200301
Keith,Nebraska,8357,8241,8225,8158,8176,8136,8096,8070,8003,8034,20200301
Keya Paha,Nebraska,824,819,797,790,795,797,792,790,806,806,20200301
Kimball,Nebraska,3834,3808,3802,3694,3726,3716,3669,3568,3578,3632,20200301
Knox,Nebraska,8677,8575,8574,8552,8474,8468,8484,8439,8405,8332,20200301
Lancaster,Nebraska,286162,289914,293431,297109,302622,306096,310306,313772,316527,319090,20200301
Lincoln,Nebraska,36250,36030,35973,35936,35648,35501,35487,35265,35148,34914,20200301
Logan,Nebraska,772,779,785,777,767,791,792,765,755,748,20200301
Loup,Nebraska,628,617,605,587,596,606,616,604,617,664,20200301
McPherson,Nebraska,539,551,509,528,510,489,503,493,490,494,20200301
Madison,Nebraska,34961,35005,35084,35147,35083,34999,34979,35132,35189,35099,20200301
Merrick,Nebraska,7852,7760,7845,7830,7788,7805,7838,7859,7733,7755,20200301
Morrill,Nebraska,5039,4984,4934,4925,4918,4925,4867,4796,4674,4642,20200301
Nance,Nebraska,3740,3731,3674,3558,3527,3573,3561,3561,3506,3519,20200301
Nemaha,Nebraska,7238,7238,7152,7149,7130,7005,6973,6957,6957,6972,20200301
Nuckolls,Nebraska,4514,4447,4430,4384,4347,4322,4274,4269,4207,4148,20200301
Otoe,Nebraska,15748,15741,15689,15688,15780,15842,15950,15956,15983,16012,20200301
Pawnee,Nebraska,2781,2791,2791,2750,2726,2691,2699,2621,2623,2613,20200301
Perkins,Nebraska,2978,2944,2930,2891,2875,2932,2892,2886,2902,2891,20200301
Phelps,Nebraska,9183,9142,9210,9179,9162,9217,9193,9050,9006,9034,20200301
Pierce,Nebraska,7260,7194,7187,7180,7204,7190,7144,7093,7145,7148,20200301
Platte,Nebraska,32305,32512,32669,32595,32740,32876,33008,33231,33287,33470,20200301
Polk,Nebraska,5394,5336,5266,5242,5268,5171,5190,5309,5240,5213,20200301
Red Willow,Nebraska,11059,11049,11044,11053,10901,10883,10767,10760,10705,10724,20200301
Richardson,Nebraska,8372,8342,8283,8131,8110,8025,8004,7971,7938,7865,20200301
Rock,Nebraska,1524,1480,1426,1440,1449,1417,1404,1420,1351,1357,20200301
Saline,Nebraska,14222,14326,14416,14299,14297,14196,14228,14365,14336,14224,20200301
Sarpy,Nebraska,159720,162568,165664,168990,171853,175173,178355,181376,184062,187196,20200301
Saunders,Nebraska,20869,20841,20797,20877,20860,20949,20992,21032,21274,21578,20200301
Scotts Bluff,Nebraska,37057,36956,36905,36853,36437,36245,36420,36160,35925,35618,20200301
Seward,Nebraska,16799,16705,16897,16994,17012,16994,17103,17203,17273,17284,20200301
Sheridan,Nebraska,5444,5360,5327,5208,5250,5216,5235,5268,5189,5246,20200301
Sherman,Nebraska,3164,3102,3078,3061,3034,3036,3012,3074,3044,3001,20200301
Sioux,Nebraska,1311,1319,1323,1330,1321,1276,1259,1195,1186,1166,20200301
Stanton,Nebraska,6142,6176,6091,6087,6097,5944,5975,5974,5970,5920,20200301
Thayer,Nebraska,5235,5170,5145,5179,5213,5129,5080,5034,5039,5003,20200301
Thomas,Nebraska,647,698,701,705,701,693,722,722,714,722,20200301
Thurston,Nebraska,6969,6903,6925,6872,6961,7073,7139,7196,7274,7224,20200301
Valley,Nebraska,4265,4228,4216,4181,4217,4168,4201,4227,4197,4158,20200301
Washington,Nebraska,19921,19918,19949,19851,19930,19917,20213,20328,20617,20729,20200301
Wayne,Nebraska,9609,9451,9499,9441,9402,9366,9379,9213,9318,9385,20200301
Webster,Nebraska,3809,3757,3734,3643,3645,3592,3566,3505,3534,3487,20200301
Wheeler,Nebraska,825,815,797,779,786,779,804,815,802,783,20200301
York,Nebraska,13669,13785,13835,13852,13917,13797,13740,13762,13748,13679,20200301
Churchill,Nevada,24818,24593,24245,23927,23824,23957,23904,24021,24506,24909,20200301
Clark,Nevada,1952587,1961925,1989224,2017193,2053134,2096717,2138836,2181635,2226115,2266715,20200301
Douglas,Nevada,47037,46971,46910,46935,47373,47404,47834,48030,48489,48905,20200301
Elko,Nevada,49088,49442,50969,52334,52531,51728,52082,52357,52539,52778,20200301
Esmeralda,Nevada,784,770,791,847,824,830,826,843,827,873,20200301
Eureka,Nevada,1990,1977,1991,2049,1988,2029,1936,1946,1998,2029,20200301
Humboldt,Nevada,16584,16639,17071,17354,17215,17017,16795,16719,16778,16831,20200301
Lander,Nevada,5795,5839,5920,6060,5968,5873,5684,5579,5547,5532,20200301
Lincoln,Nevada,5351,5269,5371,5267,5199,5136,5154,5191,5237,5183,20200301
Lyon,Nevada,52045,51385,50971,51090,51334,51974,52707,53895,55813,57510,20200301
Mineral,Nevada,4786,4628,4657,4553,4469,4420,4376,4455,4544,4505,20200301
Nye,Nevada,43844,43976,43585,42869,42840,42966,43248,43977,45186,46523,20200301
Pershing,Nevada,6737,6610,6751,6842,6702,6618,6576,6469,6685,6725,20200301
Storey,Nevada,3997,3905,3838,3795,3803,3876,3986,3976,3981,4123,20200301
Washoe,Nevada,421954,423996,427370,431083,436307,442453,449723,456629,464354,471519,20200301
White Pine,Nevada,10027,10129,10020,10046,10035,9873,9749,9651,9540,9580,20200301
Carson City,Nevada,54981,54676,54312,53726,54082,54068,54147,54532,55202,55916,20200301
Belknap,New Hampshire,60101,60335,60438,60235,60285,60370,60747,60872,61145,61303,20200301
Carroll,New Hampshire,47826,47680,47694,47520,47433,47399,47497,48132,48754,48910,20200301
Cheshire,New Hampshire,77058,76933,76902,76712,76426,76288,75975,75963,75901,76085,20200301
Coos,New Hampshire,32970,32507,31978,31949,32779,32343,31916,31396,31486,31563,20200301
Grafton,New Hampshire,89130,89276,89617,89894,89930,89439,90004,89853,89701,89886,20200301
Hillsborough,New Hampshire,401055,402774,404344,405281,407275,408985,411333,413204,414630,417025,20200301
Merrimack,New Hampshire,146388,146867,147105,147497,148161,148649,149063,149830,150650,151391,20200301
Rockingham,New Hampshire,295289,296195,298157,299456,301361,302691,304377,306669,308287,309769,20200301
Strafford,New Hampshire,123200,124133,124768,125029,126542,127038,128311,129841,129797,130633,20200301
Sullivan,New Hampshire,43745,43502,43229,43049,43149,43148,43084,43027,43114,43146,20200301
Atlantic,New Jersey,274648,274621,274629,274314,272578,270153,267217,265498,263989,263670,20200301
Bergen,New Jersey,906284,911994,916255,919951,923403,926391,928120,932420,932816,932202,20200301
Burlington,New Jersey,449129,450187,450522,448824,448168,446832,445972,445610,444745,445349,20200301
Camden,New Jersey,513275,512585,511584,509908,508316,507638,507002,506224,506353,506471,20200301
Cape May,New Jersey,97212,96494,96228,95498,94907,94160,93655,93129,92446,92039,20200301
Cumberland,New Jersey,156699,157043,156934,156098,156009,154712,153233,151423,150635,149527,20200301
Essex,New Jersey,784037,785551,785063,786649,788726,790439,792689,796349,798570,798975,20200301
Gloucester,New Jersey,289150,289687,289804,289883,290680,290943,290761,290961,291525,291636,20200301
Hudson,New Jersey,635652,645634,652348,657047,660240,664492,668588,672826,671931,672391,20200301
Hunterdon,New Jersey,127322,127330,126594,126376,125835,125452,124775,124712,124807,124371,20200301
Mercer,New Jersey,367713,367378,368554,369429,368909,368124,367699,368168,368188,367430,20200301
Middlesex,New Jersey,810758,815198,819344,821743,824160,825546,825457,827363,826172,825062,20200301
Monmouth,New Jersey,630461,629119,627641,626912,625512,624079,622971,621990,620459,618795,20200301
Morris,New Jersey,492617,494792,495620,496030,494848,494259,493801,493920,493070,491845,20200301
Ocean,New Jersey,577564,578876,579932,582059,584447,587091,590897,595424,601478,607186,20200301
Passaic,New Jersey,502023,503264,503558,503857,504547,504629,504147,504402,503183,501826,20200301
Salem,New Jersey,65980,65875,65413,64786,64323,63732,63203,62883,62746,62385,20200301
Somerset,New Jersey,324122,326249,327407,329047,329329,329626,329875,330573,330181,328934,20200301
Sussex,New Jersey,148855,148167,146979,145639,144593,143004,141925,141197,140801,140488,20200301
Union,New Jersey,537369,539931,542970,546025,548014,549905,552781,554738,556402,556341,20200301
Warren,New Jersey,108576,108142,107563,106897,106981,106742,106059,105715,105528,105267,20200301
Bernalillo,New Mexico,663923,670283,673615,676326,675957,676248,677683,678203,678034,679121,20200301
Catron,New Mexico,3748,3716,3635,3586,3547,3476,3518,3553,3554,3527,20200301
Chaves,New Mexico,65720,65720,65765,66009,65809,65825,65646,65080,64554,64615,20200301
Cibola,New Mexico,27315,27489,27418,27414,27155,27044,27049,26921,26766,26675,20200301
Colfax,New Mexico,13725,13618,13246,13068,12703,12429,12250,12151,12071,11941,20200301
Curry,New Mexico,48971,49819,50806,50775,51109,50290,50283,49794,49338,48954,20200301
De Baca,New Mexico,2031,2000,1957,1928,1861,1873,1835,1805,1779,1748,20200301
Dona,New Mexico,210097,213126,214450,214288,213933,214034,214663,216174,217278,218195,20200301
Eddy,New Mexico,53909,54070,54419,55662,56682,57715,57650,57108,57729,58460,20200301
Grant,New Mexico,29383,29346,29257,29104,28871,28364,28040,27642,27303,26998,20200301
Guadalupe,New Mexico,4695,4625,4591,4531,4442,4350,4369,4410,4334,4300,20200301
Harding,New Mexico,690,713,700,691,693,719,687,684,650,625,20200301
Hidalgo,New Mexico,4864,4843,4780,4624,4549,4436,4324,4298,4231,4198,20200301
Lea,New Mexico,64598,65126,66362,68613,70165,71476,70249,69046,69543,71070,20200301
Lincoln,New Mexico,20450,20406,20194,19976,19597,19352,19397,19468,19518,19572,20200301
Los Alamos,New Mexico,17994,18229,18234,17947,17803,17817,18209,18742,18988,19369,20200301
Luna,New Mexico,25081,25106,24921,24592,24428,24367,24362,24100,23877,23709,20200301
McKinley,New Mexico,71673,72332,72365,72665,72796,73462,73028,72423,71911,71367,20200301
Mora,New Mexico,4893,4781,4684,4695,4613,4609,4533,4530,4487,4521,20200301
Otero,New Mexico,64403,65642,66208,66304,65336,64768,65647,66121,66659,67490,20200301
Quay,New Mexico,9064,9045,8808,8675,8465,8445,8390,8299,8242,8253,20200301
Rio Arriba,New Mexico,40286,40244,40195,40064,39736,39370,39245,39235,39023,38921,20200301
Roosevelt,New Mexico,20018,20430,20318,20021,19647,19137,19145,18900,18759,18500,20200301
Sandoval,New Mexico,132431,134326,135380,136311,137023,138521,140464,142689,145096,146748,20200301
San Juan,New Mexico,130203,129711,129756,129467,129084,128246,127954,126917,125499,123958,20200301
San Miguel,New Mexico,29393,29352,29091,28819,28493,28215,28005,27715,27480,27277,20200301
Santa Fe,New Mexico,144522,145847,146722,147465,147782,148098,148758,149491,149761,150358,20200301
Sierra,New Mexico,12041,12023,11854,11524,11264,11236,11117,11064,10949,10791,20200301
Socorro,New Mexico,17791,17775,17475,17509,17258,17152,16964,16832,16704,16637,20200301
Taos,New Mexico,32895,32890,32759,32957,32963,32797,32922,32790,32699,32723,20200301
Torrance,New Mexico,16404,16447,16155,15825,15666,15596,15491,15535,15512,15461,20200301
Union,New Mexico,4541,4410,4400,4347,4246,4163,4154,4180,4108,4059,20200301
Valencia,New Mexico,76800,76960,76789,76491,75892,75661,75599,75884,76305,76688,20200301
Albany,New York,304086,304596,305723,306589,307151,307433,307597,307717,306585,305506,20200301
Allegany,New York,48971,48800,48210,47900,47652,47334,47044,46639,46332,46091,20200301
Bronx,New York,1387298,1397335,1411496,1421928,1430942,1440005,1444417,1440625,1432087,1418207,20200301
Broome,New York,200481,199363,198667,197914,197251,195928,194498,193100,191925,190488,20200301
Cattaraugus,New York,80218,79815,79348,78996,78677,77926,77658,77176,76726,76117,20200301
Cayuga,New York,79895,79693,79505,79088,78762,78298,77674,77457,77121,76576,20200301
Chautauqua,New York,134725,134209,133304,132852,131751,130529,129206,128372,127472,126903,20200301
Chemung,New York,88895,88899,89137,88199,87177,86705,85644,84736,83935,83456,20200301
